Timestamp_s,Plate1_N,Plate2_N,Channel_0_mV,Channel_1_mV,Channel_2_mV,Channel_3_mV,Channel_4_mV,Channel_5_mV,Channel_6_mV,Channel_7_mV,Plate1_N_filtered,Plate2_N_filtered
1757070811.8534,443.3508,503.4785,0.3452,0.3650,0.5835,0.4652,0.4743,0.3279,0.3921,0.6984,443.4961,503.5092
1757070811.8543,443.3508,503.4785,0.3452,0.3650,0.5835,0.4652,0.4743,0.3279,0.3921,0.6984,443.4438,503.7140
1757070811.8552,443.3508,503.4785,0.3452,0.3650,0.5835,0.4652,0.4743,0.3279,0.3921,0.6984,443.3889,503.9138
1757070811.8561,443.3508,503.4785,0.3452,0.3650,0.5835,0.4652,0.4743,0.3279,0.3921,0.6984,443.3328,504.1055
1757070811.8570,442.8690,503.4785,0.3452,0.3650,0.5835,0.4638,0.4743,0.3279,0.3921,0.6984,443.2763,504.2865
1757070811.8580,442.8690,504.2743,0.3452,0.3650,0.5835,0.4638,0.4767,0.3279,0.3921,0.6984,443.2200,504.4546
1757070811.8587,442.8690,504.2743,0.3452,0.3650,0.5835,0.4638,0.4767,0.3279,0.3921,0.6984,443.1641,504.6077
1757070811.8597,442.8690,507.1141,0.3452,0.3650,0.5835,0.4638,0.4767,0.3366,0.3921,0.6984,443.1081,504.7448
1757070811.8605,442.8690,507.1141,0.3452,0.3650,0.5835,0.4638,0.4767,0.3366,0.3921,0.6984,443.0512,504.8651
1757070811.8615,442.8690,504.2222,0.3452,0.3650,0.5835,0.4638,0.4767,0.3366,0.3832,0.6984,442.9923,504.9688
1757070811.8622,442.8690,504.2222,0.3452,0.3650,0.5835,0.4638,0.4767,0.3366,0.3832,0.6984,442.9300,505.0565
1757070811.8631,442.8690,505.2910,0.3452,0.3650,0.5835,0.4638,0.4767,0.3366,0.3832,0.7017,442.8624,505.1296
1757070811.8640,442.8690,505.2910,0.3452,0.3650,0.5835,0.4638,0.4767,0.3366,0.3832,0.7017,442.7878,505.1902
1757070811.8649,442.5176,505.2910,0.3441,0.3650,0.5835,0.4638,0.4767,0.3366,0.3832,0.7017,442.7043,505.2408
1757070811.8657,442.5176,505.2910,0.3441,0.3650,0.5835,0.4638,0.4767,0.3366,0.3832,0.7017,442.6103,505.2843
1757070811.8665,444.5748,505.2910,0.3441,0.3713,0.5835,0.4638,0.4767,0.3366,0.3832,0.7017,442.5041,505.3240
1757070811.8675,444.5748,505.2910,0.3441,0.3713,0.5835,0.4638,0.4767,0.3366,0.3832,0.7017,442.3846,505.3632
1757070811.8682,441.0936,505.2910,0.3441,0.3713,0.5728,0.4638,0.4767,0.3366,0.3832,0.7017,442.2505,505.4054
1757070811.8693,441.0936,505.2910,0.3441,0.3713,0.5728,0.4638,0.4767,0.3366,0.3832,0.7017,442.1014,505.4539
1757070811.8702,441.0936,505.2910,0.3441,0.3713,0.5728,0.4638,0.4767,0.3366,0.3832,0.7017,441.9370,505.5120
1757070811.8711,441.0936,505.2910,0.3441,0.3713,0.5728,0.4638,0.4767,0.3366,0.3832,0.7017,441.7574,505.5825
1757070811.8719,441.0936,505.4306,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3832,0.7017,441.5631,505.6678
1757070811.8728,441.0936,505.4306,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3832,0.7017,441.3549,505.7699
1757070811.8737,441.0936,505.4306,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3832,0.7017,441.1341,505.8902
1757070811.8745,441.0936,505.4306,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3832,0.7017,440.9024,506.0297
1757070811.8751,441.0936,507.2107,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3887,0.7017,440.6618,506.1887
1757070811.8763,441.0936,507.2107,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3887,0.7017,440.4146,506.3668
1757070811.8772,441.0936,507.1179,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3887,0.7014,440.1633,506.5634
1757070811.8781,441.0936,507.1179,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3887,0.7014,439.9110,506.7769
1757070811.8789,441.0936,507.1179,0.3441,0.3713,0.5728,0.4638,0.4771,0.3366,0.3887,0.7014,439.6604,507.0056
1757070811.8801,440.1764,507.1179,0.3441,0.3685,0.5728,0.4638,0.4771,0.3366,0.3887,0.7014,439.4143,507.2471
1757070811.8807,440.1764,507.1179,0.3441,0.3685,0.5728,0.4638,0.4771,0.3366,0.3887,0.7014,439.1755,507.4987
1757070811.8819,437.2178,507.1179,0.3441,0.3685,0.5637,0.4638,0.4771,0.3366,0.3887,0.7014,438.9458,507.7571
1757070811.8825,437.2178,507.1179,0.3441,0.3685,0.5637,0.4638,0.4771,0.3366,0.3887,0.7014,438.7269,508.0190
1757070811.8833,437.2178,507.1179,0.3441,0.3685,0.5637,0.4638,0.4771,0.3366,0.3887,0.7014,438.5191,508.2806
1757070811.8842,437.2178,507.1179,0.3441,0.3685,0.5637,0.4638,0.4771,0.3366,0.3887,0.7014,438.3220,508.5381
1757070811.8853,437.2178,507.9951,0.3441,0.3685,0.5637,0.4638,0.4799,0.3366,0.3887,0.7014,438.1342,508.7880
1757070811.8860,437.2178,507.9951,0.3441,0.3685,0.5637,0.4638,0.4799,0.3366,0.3887,0.7014,437.9527,509.0267
1757070811.8870,437.2178,511.8690,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3887,0.7014,437.7738,509.2513
1757070811.8877,437.2178,511.8690,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3887,0.7014,437.5928,509.4595
1757070811.8887,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,437.4040,509.6498
1757070811.8895,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,437.2013,509.8214
1757070811.8903,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,436.9782,509.9748
1757070811.8912,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,436.7282,510.1111
1757070811.8921,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,436.4451,510.2327
1757070811.8930,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,436.1233,510.3422
1757070811.8939,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,435.7577,510.4433
1757070811.8947,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,435.3442,510.5398
1757070811.8956,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,434.8799,510.6355
1757070811.8965,437.2178,510.4744,0.3441,0.3685,0.5637,0.4638,0.4799,0.3486,0.3844,0.7014,434.3629,510.7344
1757070811.8973,429.7866,510.4744,0.3441,0.3685,0.5637,0.4409,0.4799,0.3486,0.3844,0.7014,433.7922,510.8400
1757070811.8983,429.7866,510.4744,0.3441,0.3685,0.5637,0.4409,0.4799,0.3486,0.3844,0.7014,433.1681,510.9551
1757070811.8992,429.7866,510.4744,0.3441,0.3685,0.5637,0.4409,0.4799,0.3486,0.3844,0.7014,432.4919,511.0821
1757070811.9000,429.7866,510.4744,0.3441,0.3685,0.5637,0.4409,0.4799,0.3486,0.3844,0.7014,431.7657,511.2223
1757070811.9009,429.7866,510.2602,0.3441,0.3685,0.5637,0.4409,0.4799,0.3479,0.3844,0.7014,430.9927,511.3763
1757070811.9018,429.7866,510.2602,0.3441,0.3685,0.5637,0.4409,0.4799,0.3479,0.3844,0.7014,430.1770,511.5436
1757070811.9027,429.7866,510.2602,0.3441,0.3685,0.5637,0.4409,0.4799,0.3479,0.3844,0.7014,429.3239,511.7230
1757070811.9035,429.7866,510.2602,0.3441,0.3685,0.5637,0.4409,0.4799,0.3479,0.3844,0.7014,428.4396,511.9124
1757070811.9041,429.7866,513.6619,0.3441,0.3685,0.5637,0.4409,0.4799,0.3479,0.3844,0.7119,427.5314,512.1095
1757070811.9053,429.7866,513.6619,0.3441,0.3685,0.5637,0.4409,0.4799,0.3479,0.3844,0.7119,426.6078,512.3113
1757070811.9062,429.7866,513.6619,0.3441,0.3685,0.5637,0.4409,0.4799,0.3479,0.3844,0.7119,425.6781,512.5151
1757070811.9070,429.7866,513.6619,0.3441,0.3685,0.5637,0.4409,0.4799,0.3479,0.3844,0.7119,424.7526,512.7182
1757070811.9075,426.5713,513.6619,0.3441,0.3586,0.5637,0.4409,0.4799,0.3479,0.3844,0.7119,423.8418,512.9183
1757070811.9091,418.0789,513.6619,0.3441,0.3586,0.5376,0.4409,0.4799,0.3479,0.3844,0.7119,422.9564,513.1139
1757070811.9097,418.0789,513.6619,0.3441,0.3586,0.5376,0.4409,0.4799,0.3479,0.3844,0.7119,422.1066,513.3040
1757070811.9106,418.0789,513.6619,0.3441,0.3586,0.5376,0.4409,0.4799,0.3479,0.3844,0.7119,421.3017,513.4886
1757070811.9115,418.0789,513.6619,0.3441,0.3586,0.5376,0.4409,0.4799,0.3479,0.3844,0.7119,420.5498,513.6685
1757070811.9123,418.0789,513.6619,0.3441,0.3586,0.5376,0.4409,0.4799,0.3479,0.3844,0.7119,419.8572,513.8455
1757070811.9132,418.0789,513.6619,0.3441,0.3586,0.5376,0.4409,0.4799,0.3479,0.3844,0.7119,419.2281,514.0219
1757070811.9141,418.0789,513.6619,0.3441,0.3586,0.5376,0.4409,0.4799,0.3479,0.3844,0.7119,418.6651,514.2008
1757070811.9150,418.0789,514.1220,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3844,0.7119,418.1682,514.3861
1757070811.9160,418.0789,515.7248,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3893,0.7119,417.7360,514.5816
1757070811.9167,418.0789,515.7248,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3893,0.7119,417.3647,514.7917
1757070811.9176,418.0789,515.7248,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3893,0.7119,417.0495,515.0206
1757070811.9185,418.0789,515.7248,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3893,0.7119,416.7840,515.2721
1757070811.9194,418.0789,515.7248,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3893,0.7119,416.5607,515.5499
1757070811.9203,418.0789,515.7248,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3893,0.7119,416.3716,515.8566
1757070811.9212,418.0789,515.7248,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3893,0.7119,416.2079,516.1940
1757070811.9220,418.0789,515.7248,0.3441,0.3586,0.5376,0.4409,0.4799,0.3494,0.3893,0.7119,416.0605,516.5627
1757070811.9228,414.0274,515.7248,0.3441,0.3586,0.5252,0.4409,0.4799,0.3494,0.3893,0.7119,415.9200,516.9620
