Timestamp_s,Plate1_N,Plate2_N,Channel_0_mV,Channel_1_mV,Channel_2_mV,Channel_3_mV,Channel_4_mV,Channel_5_mV,Channel_6_mV,Channel_7_mV,Plate1_N_filtered,Plate2_N_filtered
1757070771.4516,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,452.4061,447.0683
1757070771.4525,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,452.3589,447.0654
1757070771.4534,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,452.3090,447.0578
1757070771.4543,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,452.2527,447.0451
1757070771.4551,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,452.1866,447.0271
1757070771.4560,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,452.1079,447.0036
1757070771.4569,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,452.0145,446.9749
1757070771.4578,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,451.9051,446.9417
1757070771.4586,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,451.7793,446.9048
1757070771.4595,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,451.6374,446.8655
1757070771.4604,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,451.4809,446.8257
1757070771.4613,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,451.3115,446.7873
1757070771.4621,452.4445,446.9898,0.4316,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,451.1319,446.7529
1757070771.4631,449.3784,446.9898,0.4222,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,450.9449,446.7252
1757070771.4639,449.3784,446.9898,0.4222,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,450.7535,446.7072
1757070771.4648,449.3784,446.9898,0.4222,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,450.5607,446.7019
1757070771.4656,449.3784,446.9898,0.4222,0.5065,0.4891,0.3597,0.4656,0.1784,0.5375,0.5368,450.3692,446.7126
