Timestamp_s,Plate1_N,Plate2_N,Channel_0_mV,Channel_1_mV,Channel_2_mV,Channel_3_mV,Channel_4_mV,Channel_5_mV,Channel_6_mV,Channel_7_mV,Plate1_N_filtered,Plate2_N_filtered
1757069513.1787,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,457.2238,447.6457
1757069513.1796,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,457.2266,447.6522
1757069513.1804,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,457.2109,447.6587
1757069513.1813,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,457.1741,447.6649
1757069513.1822,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,457.1142,447.6705
1757069513.1831,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,457.0302,447.6750
1757069513.1840,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,456.9219,447.6780
1757069513.1848,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,456.7907,447.6791
1757069513.1857,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,456.6393,447.6779
1757069513.1866,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,456.4722,447.6739
1757069513.1875,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,456.2953,447.6669
1757069513.1883,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,456.1166,447.6567
1757069513.1892,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,455.9454,447.6434
1757069513.1901,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,455.7928,447.6269
1757069513.1910,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,455.6709,447.6077
1757069513.1918,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,455.5928,447.5863
1757069513.1927,456.8748,447.6317,0.4022,0.3301,0.5389,0.5293,0.4455,0.2837,0.3438,0.6473,455.5722,447.5636
1757069513.1936,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,455.6227,447.5404
1757069513.1945,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,455.7569,447.5181
1757069513.1954,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,455.9867,447.4982
1757069513.1963,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,456.3216,447.4822
1757069513.1972,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,456.7688,447.4721
1757069513.1980,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,457.3322,447.4698
1757069513.1989,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,458.0120,447.4771
1757069513.1998,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,458.8046,447.4961
1757069513.2007,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,459.7021,447.5283
1757069513.2016,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,460.6926,447.5755
1757069513.2025,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,461.7602,447.6387
1757069513.2034,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,462.8858,447.7189
1757069513.2043,456.4733,447.6317,0.4022,0.3301,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,464.0475,447.8163
1757069513.2050,472.7748,447.6317,0.4022,0.3802,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,465.2220,447.9308
1757069513.2060,472.7748,447.6317,0.4022,0.3802,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,466.3852,448.0618
1757069513.2069,472.7748,447.6317,0.4022,0.3802,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,467.5136,448.2077
1757069513.2078,472.7748,447.6317,0.4022,0.3802,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,468.5853,448.3669
1757069513.2087,472.7748,447.6317,0.4022,0.3802,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,469.5810,448.5370
1757069513.2095,472.7748,447.6317,0.4022,0.3802,0.5377,0.5293,0.4455,0.2837,0.3438,0.6473,470.4847,448.7151
1757069513.2102,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,471.2841,448.8983
1757069513.2113,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,471.9713,449.0832
1757069513.2122,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,472.5423,449.2668
1757069513.2131,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,472.9974,449.4457
1757069513.2139,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.3406,449.6172
1757069513.2148,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.5790,449.7789
1757069513.2157,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.7226,449.9285
1757069513.2166,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.7835,450.0647
1757069513.2174,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.7752,450.1863
1757069513.2183,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.7122,450.2931
1757069513.2192,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.6089,450.3852
1757069513.2201,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.4799,450.4634
1757069513.2209,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.3384,450.5290
1757069513.2218,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.1969,450.5841
1757069513.2227,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,473.0660,450.6313
1757069513.2236,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,472.9548,450.6739
1757069513.2245,472.7748,450.0386,0.4022,0.3802,0.5377,0.5293,0.4529,0.2837,0.3438,0.6473,472.8704,450.7157
1757069513.2256,472.7748,452.1113,0.4022,0.3802,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,472.8177,450.7614
1757069513.2262,472.7748,452.1113,0.4022,0.3802,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,472.8000,450.8158
1757069513.2271,472.7748,452.1113,0.4022,0.3802,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,472.8184,450.8849
1757069513.2280,472.7748,452.1113,0.4022,0.3802,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,472.8724,450.9745
1757069513.2289,472.7748,452.1113,0.4022,0.3802,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,472.9598,451.0910
1757069513.2297,472.7748,452.1113,0.4022,0.3802,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,473.0769,451.2409
1757069513.2306,472.7748,452.1113,0.4022,0.3802,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,473.2193,451.4301
1757069513.2315,472.7748,452.1113,0.4022,0.3802,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,473.3814,451.6644
1757069513.2324,474.4586,452.1113,0.4022,0.3854,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,473.5572,451.9483
1757069513.2333,474.4586,452.1113,0.4022,0.3854,0.5377,0.5293,0.4529,0.2901,0.3438,0.6473,473.7405,452.2854
1757069513.2342,474.8048,452.1113,0.4022,0.3854,0.5387,0.5293,0.4529,0.2901,0.3438,0.6473,473.9252,452.6774
1757069513.2350,474.8048,452.1113,0.4022,0.3854,0.5387,0.5293,0.4529,0.2901,0.3438,0.6473,474.1054,453.1244
1757069513.2359,474.8048,452.1113,0.4022,0.3854,0.5387,0.5293,0.4529,0.2901,0.3438,0.6473,474.2758,453.6242
