Timestamp_s,Plate1_N,Plate2_N,Channel_0_mV,Channel_1_mV,Channel_2_mV,Channel_3_mV,Channel_4_mV,Channel_5_mV,Channel_6_mV,Channel_7_mV,Plate1_N_filtered,Plate2_N_filtered
1757069264.4750,436.8255,463.6954,0.5190,0.4410,0.3962,0.3827,0.6689,0.2056,0.4850,0.4103,436.8341,463.6954
1757069264.4759,436.8255,463.6954,0.5190,0.4410,0.3962,0.3827,0.6689,0.2056,0.4850,0.4103,436.6593,463.7498
1757069264.4771,435.5780,463.6954,0.5190,0.4410,0.3962,0.3789,0.6689,0.2056,0.4850,0.4103,436.4875,463.8032
1757069264.4777,435.5780,463.6954,0.5190,0.4410,0.3962,0.3789,0.6689,0.2056,0.4850,0.4103,436.3219,463.8548
1757069264.4786,435.5780,463.6954,0.5190,0.4410,0.3962,0.3789,0.6689,0.2056,0.4850,0.4103,436.1652,463.9041
1757069264.4794,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,436.0200,463.9503
1757069264.4803,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.8883,463.9932
1757069264.4812,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.7715,464.0322
1757069264.4820,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.6707,464.0673
1757069264.4829,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.5862,464.0983
1757069264.4838,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.5179,464.1252
1757069264.4847,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.4653,464.1483
1757069264.4855,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.4275,464.1679
1757069264.4864,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.4032,464.1841
1757069264.4873,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.3912,464.1975
1757069264.4881,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.3897,464.2084
1757069264.4890,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.3972,464.2173
1757069264.4899,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.4121,464.2244
1757069264.4907,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.4329,464.2302
1757069264.4916,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.4582,464.2347
1757069264.4925,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.4865,464.2381
1757069264.4934,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.5167,464.2404
1757069264.4942,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.5478,464.2415
1757069264.4951,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.5788,464.2411
1757069264.4960,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.6088,464.2390
1757069264.4968,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.6371,464.2348
1757069264.4977,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.6630,464.2280
1757069264.4986,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.6856,464.2183
1757069264.4994,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.7042,464.2052
1757069264.5003,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.7182,464.1886
1757069264.5012,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.7266,464.1681
1757069264.5021,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.7286,464.1439
1757069264.5029,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.7234,464.1161
1757069264.5038,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.7101,464.0850
1757069264.5047,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.6880,464.0514
1757069264.5055,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.6561,464.0161
1757069264.5064,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.6140,463.9803
1757069264.5073,435.5780,464.1766,0.5190,0.4410,0.3962,0.3789,0.6704,0.2056,0.4850,0.4103,435.5611,463.9454
1757069264.5081,435.5780,463.9232,0.5190,0.4410,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,435.4972,463.9130
1757069264.5090,435.5780,463.9232,0.5190,0.4410,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,435.4224,463.8848
1757069264.5099,435.5780,463.9232,0.5190,0.4410,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,435.3369,463.8628
1757069264.5108,435.5780,463.9232,0.5190,0.4410,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,435.2415,463.8486
1757069264.5116,435.5780,463.9232,0.5190,0.4410,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,435.1369,463.8442
1757069264.5125,435.5780,463.9232,0.5190,0.4410,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,435.0246,463.8512
1757069264.5134,435.5780,463.9232,0.5190,0.4410,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,434.9060,463.8710
1757069264.5143,435.5780,463.9232,0.5190,0.4410,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,434.7828,463.9048
1757069264.5147,433.7836,463.9232,0.5190,0.4354,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,434.6568,463.9532
1757069264.5160,433.7836,463.9232,0.5190,0.4354,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,434.5300,464.0166
1757069264.5169,433.7836,463.9232,0.5190,0.4354,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,434.4042,464.0946
1757069264.5178,433.7836,463.9232,0.5190,0.4354,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,434.2810,464.1865
1757069264.5187,433.7836,463.9232,0.5190,0.4354,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,434.1619,464.2908
1757069264.5196,433.7836,463.9232,0.5190,0.4354,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,434.0483,464.4056
1757069264.5204,433.7836,463.9232,0.5190,0.4354,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,433.9412,464.5285
1757069264.5213,433.7836,463.9232,0.5190,0.4354,0.3962,0.3789,0.6704,0.2048,0.4850,0.4103,433.8412,464.6566
1757069264.5222,433.7836,463.4985,0.5190,0.4354,0.3962,0.3789,0.6704,0.2035,0.4850,0.4103,433.7488,464.7868
1757069264.5232,433.7836,465.7387,0.5190,0.4354,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.6644,464.9157
1757069264.5240,433.7836,465.7387,0.5190,0.4354,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.5881,465.0400
1757069264.5248,433.7836,465.7387,0.5190,0.4354,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.5198,465.1565
1757069264.5257,433.7836,465.7387,0.5190,0.4354,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.4596,465.2624
1757069264.5266,433.7836,465.7387,0.5190,0.4354,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.4073,465.3551
1757069264.5275,433.7836,465.7387,0.5190,0.4354,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.3629,465.4330
1757069264.5284,433.2534,465.7387,0.5190,0.4338,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.3264,465.4948
1757069264.5293,433.2534,465.7387,0.5190,0.4338,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.2976,465.5402
1757069264.5301,433.2534,465.7387,0.5190,0.4338,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.2766,465.5695
1757069264.5310,433.2534,465.7387,0.5190,0.4338,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.2633,465.5839
1757069264.5319,433.2534,465.7387,0.5190,0.4338,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.2577,465.5851
1757069264.5328,433.2534,465.7387,0.5190,0.4338,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.2595,465.5757
1757069264.5337,433.2534,465.7387,0.5190,0.4338,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.2685,465.5584
1757069264.5345,433.2534,465.7387,0.5190,0.4338,0.3962,0.3789,0.6704,0.2035,0.4919,0.4103,433.2843,465.5366
